id,dataset_id,category,prompt,completion,group_id
food-data.csv:000017,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""sausage, breakfast sausage, beef, pre-cooked, unprepared 200g dinner""}]","{""items"":[{""name"":""sausage, breakfast sausage, beef, pre-cooked, unprepared"",""quantity"":200,""unit"":""g""}],""mealType"":""dinner""}","food-data.csv:[""sausage, breakfast sausage, beef, pre-cooked, unprepared""]"
food-data.csv:000019,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 200g pickles, cucumber, dill or kosher dill""}]","{""items"":[{""name"":""pickles, cucumber, dill or kosher dill"",""quantity"":200,""unit"":""g""}],""mealType"":""unknown""}","food-data.csv:[""pickles, cucumber, dill or kosher dill""]"
food-data.csv:000020,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""2cup peanut butter, smooth style, with salt bf""}]","{""items"":[{""name"":""peanut butter, smooth style, with salt"",""quantity"":2,""unit"":""cup""}],""mealType"":""breakfast""}","food-data.csv:[""peanut butter, smooth style, with salt""]"
food-data.csv:000021,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate tbsp1 cheese, parmesan, grated""}]","{""items"":[{""name"":""cheese, parmesan, grated"",""quantity"":1,""unit"":""tablespoon""}],""mealType"":""unknown""}","food-data.csv:[""cheese, parmesan, grated""]"
food-data.csv:000023,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""grapefruit juice, white, canned or bottled, unsweetened cup2 snack -13d""}]","{""items"":[{""name"":""grapefruit juice, white, canned or bottled, unsweetened"",""quantity"":2,""unit"":""cup""}],""mealType"":""snack""}","food-data.csv:[""grapefruit juice, white, canned or bottled, unsweetened""]"
food-data.csv:000025,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""2 cups seeds, sunflower seed kernels, dry roasted, with salt added""}]","{""items"":[{""name"":""seeds, sunflower seed kernels, dry roasted, with salt added"",""quantity"":2,""unit"":""cup""}],""mealType"":""unknown""}","food-data.csv:[""seeds, sunflower seed kernels, dry roasted, with salt added""]"
food-data.csv:000026,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""250 g sausage, italian, pork, mild, cooked, pan-fried lunch 23d ago""}]","{""items"":[{""name"":""sausage, italian, pork, mild, cooked, pan-fried"",""quantity"":250,""unit"":""g""}],""mealType"":""lunch""}","food-data.csv:[""sausage, italian, pork, mild, cooked, pan-fried""]"
food-data.csv:000027,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 3 slices bread, white, commercially prepared 22h ago""}]","{""items"":[{""name"":""bread, white, commercially prepared"",""quantity"":3,""unit"":""slice""}],""mealType"":""unknown""}","food-data.csv:[""bread, white, commercially prepared""]"
food-data.csv:000028,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""sausage, turkey, breakfast links, mild, raw g100 dinner""}]","{""items"":[{""name"":""sausage, turkey, breakfast links, mild, raw"",""quantity"":100,""unit"":""g""}],""mealType"":""dinner""}","food-data.csv:[""sausage, turkey, breakfast links, mild, raw""]"
food-data.csv:000029,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""3 slices cheese, swiss -7d""}]","{""items"":[{""name"":""cheese, swiss"",""quantity"":3,""unit"":""slice""}],""mealType"":""unknown""}","food-data.csv:[""cheese, swiss""]"
food-data.csv:000031,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""carrots, frozen, unprepared (includes foods for usda's food distribution program) 100 g 11d ago""}]","{""items"":[{""name"":""carrots, frozen, unprepared (includes foods for usda's food distribution program)"",""quantity"":100,""unit"":""g""}],""mealType"":""unknown""}","food-data.csv:[""carrots, frozen, unprepared (includes foods for usda's food distribution program)""]"
food-data.csv:000032,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 1cup mustard, prepared, yellow breakfast""}]","{""items"":[{""name"":""mustard, prepared, yellow"",""quantity"":1,""unit"":""cup""}],""mealType"":""breakfast""}","food-data.csv:[""mustard, prepared, yellow""]"
food-data.csv:000033,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""2 cups figs, dried, uncooked lunch 16h ago""}]","{""items"":[{""name"":""figs, dried, uncooked"",""quantity"":2,""unit"":""cup""}],""mealType"":""lunch""}","food-data.csv:[""figs, dried, uncooked""]"
food-data.csv:000034,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""100 grams kiwifruit, green, raw 58kcal 18d ago""}]","{""items"":[{""name"":""kiwifruit, green, raw"",""quantity"":100,""unit"":""g""}],""mealType"":""unknown""}","food-data.csv:[""kiwifruit, green, raw""]"
food-data.csv:000035,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""melons, cantaloupe, raw 30piece 23d ago""}]","{""items"":[{""name"":""melons, cantaloupe, raw"",""quantity"":30,""unit"":""piece""}],""mealType"":""unknown""}","food-data.csv:[""melons, cantaloupe, raw""]"
food-data.csv:000036,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 2cup nectarines, raw lunch 19h ago""}]","{""items"":[{""name"":""nectarines, raw"",""quantity"":2,""unit"":""cup""}],""mealType"":""lunch""}","food-data.csv:[""nectarines, raw""]"
food-data.csv:000037,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 2cup oranges, raw, navels (includes foods for usda's food distribution program) ln""}]","{""items"":[{""name"":""oranges, raw, navels (includes foods for usda's food distribution program)"",""quantity"":2,""unit"":""cup""}],""mealType"":""late_night""}","food-data.csv:[""oranges, raw, navels (includes foods for usda's food distribution program)""]"
food-data.csv:000039,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""g100 lettuce, cos or romaine, raw 17cal""}]","{""items"":[{""name"":""lettuce, cos or romaine, raw"",""quantity"":100,""unit"":""g""}],""mealType"":""unknown""}","food-data.csv:[""lettuce, cos or romaine, raw""]"
food-data.csv:000041,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 2cup cheese, cottage, lowfat, 2% milkfat 15d ago""}]","{""items"":[{""name"":""cheese, cottage, lowfat, 2% milkfat"",""quantity"":2,""unit"":""cup""}],""mealType"":""unknown""}","food-data.csv:[""cheese, cottage, lowfat, 2% milkfat""]"
food-data.csv:000042,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""1cup cheese, mozzarella, low moisture, part-skim 3d ago""}]","{""items"":[{""name"":""cheese, mozzarella, low moisture, part-skim"",""quantity"":1,""unit"":""cup""}],""mealType"":""unknown""}","food-data.csv:[""cheese, mozzarella, low moisture, part-skim""]"
food-data.csv:000043,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""egg, whole, dried cup2 -3d""}]","{""items"":[{""name"":""egg, whole, dried"",""quantity"":2,""unit"":""cup""}],""mealType"":""unknown""}","food-data.csv:[""egg, whole, dried""]"
food-data.csv:000045,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""2 cups egg, yolk, dried kcal876""}]","{""items"":[{""name"":""egg, yolk, dried"",""quantity"":2,""unit"":""cup""}],""mealType"":""unknown""}","food-data.csv:[""egg, yolk, dried""]"
food-data.csv:000047,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""150 g yogurt, greek, plain, nonfat lunch""}]","{""items"":[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":150,""unit"":""g""}],""mealType"":""lunch""}","food-data.csv:[""yogurt, greek, plain, nonfat""]"
food-data.csv:000049,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""oil, coconut tbsp1""}]","{""items"":[{""name"":""oil, coconut"",""quantity"":1,""unit"":""tablespoon""}],""mealType"":""unknown""}","food-data.csv:[""oil, coconut""]"
food-data.csv:000050,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""50 grams turkey, ground, 93% lean, 7% fat, pan-broiled crumbles kcal110""}]","{""items"":[{""name"":""turkey, ground, 93% lean, 7% fat, pan-broiled crumbles"",""quantity"":50,""unit"":""g""}],""mealType"":""unknown""}","food-data.csv:[""turkey, ground, 93% lean, 7% fat, pan-broiled crumbles""]"
food-data.csv:000051,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""200 grams chicken, broilers or fryers, drumstick, meat only, cooked, braised""}]","{""items"":[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":200,""unit"":""g""}],""mealType"":""unknown""}","food-data.csv:[""chicken, broilers or fryers, drumstick, meat only, cooked, braised""]"
food-data.csv:000052,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 2piece chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised +1d""}]","{""items"":[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece""}],""mealType"":""unknown""}","food-data.csv:[""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised""]"
food-data.csv:000053,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""sauce, pasta, spaghetti/marinara, ready-to-serve 2serving 12h ago""}]","{""items"":[{""name"":""sauce, pasta, spaghetti/marinara, ready-to-serve"",""quantity"":2,""unit"":""serving""}],""mealType"":""unknown""}","food-data.csv:[""sauce, pasta, spaghetti/marinara, ready-to-serve""]"
food-data.csv:000054,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""1 slice ham, sliced, pre-packaged, deli meat (96%fat free, water added) snack -12h""}]","{""items"":[{""name"":""ham, sliced, pre-packaged, deli meat (96%fat free, water added)"",""quantity"":1,""unit"":""slice""}],""mealType"":""snack""}","food-data.csv:[""ham, sliced, pre-packaged, deli meat (96%fat free, water added)""]"
food-data.csv:000055,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 2 cups pears, raw, bartlett (includes foods for usda's food distribution program) cal160 lunch""}]","{""items"":[{""name"":""pears, raw, bartlett (includes foods for usda's food distribution program)"",""quantity"":2,""unit"":""cup""}],""mealType"":""lunch""}","food-data.csv:[""pears, raw, bartlett (includes foods for usda's food distribution program)""]"
food-data.csv:000056,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 100 gr olives, green, manzanilla, stuffed with pimiento 130 kcal snack""}]","{""items"":[{""name"":""olives, green, manzanilla, stuffed with pimiento"",""quantity"":100,""unit"":""g""}],""mealType"":""snack""}","food-data.csv:[""olives, green, manzanilla, stuffed with pimiento""]"
food-data.csv:000058,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""cookies, oatmeal, soft, with raisins 100g 430kcal bf""}]","{""items"":[{""name"":""cookies, oatmeal, soft, with raisins"",""quantity"":100,""unit"":""g""}],""mealType"":""breakfast""}","food-data.csv:[""cookies, oatmeal, soft, with raisins""]"
food-data.csv:000059,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""cup1 tomatoes, canned, red, ripe, diced""}]","{""items"":[{""name"":""tomatoes, canned, red, ripe, diced"",""quantity"":1,""unit"":""cup""}],""mealType"":""unknown""}","food-data.csv:[""tomatoes, canned, red, ripe, diced""]"
food-data.csv:000061,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""150 gr fish, pollock, raw dinner 22h ago""}]","{""items"":[{""name"":""fish, pollock, raw"",""quantity"":150,""unit"":""g""}],""mealType"":""dinner""}","food-data.csv:[""fish, pollock, raw""]"
food-data.csv:000062,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""fish, tuna, light, canned in water, drained solids 100 gr""}]","{""items"":[{""name"":""fish, tuna, light, canned in water, drained solids"",""quantity"":100,""unit"":""g""}],""mealType"":""unknown""}","food-data.csv:[""fish, tuna, light, canned in water, drained solids""]"
food-data.csv:000064,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""piece6 restaurant, chinese, sweet and sour pork snack""}]","{""items"":[{""name"":""restaurant, chinese, sweet and sour pork"",""quantity"":6,""unit"":""piece""}],""mealType"":""snack""}","food-data.csv:[""restaurant, chinese, sweet and sour pork""]"
food-data.csv:000065,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""restaurant, chinese, fried rice, without meat 2cup 463cal lunch""}]","{""items"":[{""name"":""restaurant, chinese, fried rice, without meat"",""quantity"":2,""unit"":""cup""}],""mealType"":""lunch""}","food-data.csv:[""restaurant, chinese, fried rice, without meat""]"
food-data.csv:000066,food-data.csv,food,"[{""role"":""system"",""content"":""The user selected the food category. Extract only the food items and explicit meal type from the input. Return one compact JSON object with items and mealType. Preserve item order. Each item must contain name, quantity, and unit. Use mealType unknown when no meal is explicitly named. Do not output calories, time, nulls, extra fields, markdown, or explanations.""},{""role"":""user"",""content"":""ate 1piece restaurant, latino, tamale, pork breakfast -6h""}]","{""items"":[{""name"":""restaurant, latino, tamale, pork"",""quantity"":1,""unit"":""piece""}],""mealType"":""breakfast""}","food-data.csv:[""restaurant, latino, tamale, pork""]"
